,title,wos,clean_abstract
0,Analysis of the predicted effect of passive climate adaptation measures on energy demand for cooling and heating in a residential building,WOS:000370111300069,both new existing building need adapted order keep providing comfortable healthy indoor preferably measure applied building level scale require additional energy e passive measure previous study showed passive measure positive effect thermal comfort summer shoulder season non air conditioned residential building in effect passive measure applied building component level cooling heating energy demand terraced house analyzed using building energy simulation it shown particular case required cooling energy limited large extent 59 74 external solar shading additional natural ventilation applied in addition shown well insulated terraced house energy cost heating strongly affected application passive measure
1,"On the predicted effectiveness of climate adaptation measures for residential buildings (Reprinted from vol 82, pg 300-316, 2014)",WOS:000347597200013,in changing outdoor new building well existing building stock need adapt order keep providing inhabitant user comfortable healthy indoor environment minimum preferably increase energy consumption in effectiveness six passive measure applied level building component assessed using building energy simulation three generic residential building commonly built among others netherlands 1 detached house 2 terraced house 3 apartment involves residential building built according regulation common practice 2012 residential building constructed 1970s lower thermal resistance opaque transparent part building envelope measure investigated increased thermal resistance ii changed thermal capacity iii increased short wave reflectivity albedo iv vegetation roof v solar shading vi additional natural ventilation quantifies effectiveness measure new residential building well renovation current building stock performance indicator number overheating hour year it shown exterior solar shading additional natural ventilation effective performance indicator furthermore increasing thermal insulation reduce energy use heating demand additional measure prevent overheating
2,On the predicted effectiveness of climate adaptation measures for residential buildings,WOS:000346543500029,in changing outdoor new building well existing building stock need adapt order keep providing inhabitant user comfortable healthy indoor environment minimum preferably increase energy consumption in effectiveness six passive measure applied level building component assessed using building energy simulation three generic residential building commonly built among others netherlands 1 detached house 2 terraced house 3 apartment involves residential building built according regulation common practice 2012 residential building constructed 1970s lower thermal resistance opaque transparent part building envelope measure investigated increased thermal resistance ii changed thermal capacity iii increased short wave reflectivity albedo iv vegetation roof v solar shading vi additional natural ventilation quantifies effectiveness measure new residential building well renovation current building stock performance indicator number overheating hour year it shown exterior solar shading additional natural ventilation effective performance indicator furthermore increasing thermal insulation reduce energy use heating demand additional measure prevent overheating
3,Role of renewable energy technologies in climate change adaptation and mitigation: A brief review from Nepal,WOS:000708469700004,renewable energy play crucial role mitigation highly vulnerable nation nepal review various type renewable energy technology status potential adoption relationship mitigative adaptive role nepal nepal installed micro hydro project solar power improved cooking stove biogas technology improved water mill wind energy mitigate adapt there growing potential renewable energy development nepal hydropower solar wind energy biogas improved cooking stove roughly 70 nepal energy consumption generated traditional energy source renewable energy account approximately three percent gradual increase use renewable energy reduced greenhouse gas emission enhanced carbon sequestration by adopting renewable energy technology nepal reduced emission 221 129 tco 2 e 2017 2018 nepal second nationally determined contribution target 15 increase national energy use renewables reduction 23 co2 emission 2030 using biogas improved cooking system furthermore significant increase adoption renewable energy become pivotal strategy social health economic sector resulting time saving alternative income source improved health educational status local job opportunity promotion social capital benefit adapting mitigating co2 emission via renewable energy significant local national international level recommends government nepal focus work energy policy review address local energy demand issue utilizing renewable energy resource local level global implication
4,"Climate Change Adaptation Through Urban Heat Management in Atlanta, Georgia",WOS:000322059800027,explores potential effectiveness metropolitan land cover strategy managing rising temperature large rapidly warming metropolitan region united state through integration mesoscale meteorological model estimated land cover data atlanta georgia region 2010 quantifies influence extensive land cover periphery large metropolitan region temperature within city center first directly model metropolitan scale heat transfer mechanism find enhanced tree canopy impervious cover hi suburban zone atlanta region produce statistically significant cooling warming effect urban core based finding conclude urban heat island management within beyond central developed core large city may provide effective strategy large metropolitan region
5,Adaptable housing design for climate change adaptation,WOS:000410760400003,it predicted result rising sea level frequent extreme weather event hotter drier summer warmer wetter winter significant impact design building kept cool weathered extreme climatic condition residential sector already significant environmental burden high associated operational energy growing population requiring residence potential exacerbate problem seriously new paradigm residential building design required enable low carbon dioxide operation mitigate they must also face reality inevitable adopt strategy cope future scenario however strategy dwelling must also cognisant adapting occupant need influenced ageing population new technology present concept priority changing society design residential building designing a case home analysed context stated aim low energy adaptability a post occupancy evaluation house presented future proofing strategy evaluated using projection data future scenario
6,Can Seaweed Farming Play a Role in Climate Change Mitigation and Adaptation?,WOS:000457690600100,seaweed aquaculture fastest growing component global food production offer slate opportunity mitigate adapt seaweed farm release carbon maybe buried sediment exported deep sea therefore acting co2 sink crop also used total part biofuel production potential co2 mitigation capacity term avoided emission fossil fuel 1 500 ton co2 km 2 year 1 seaweed aquaculture also help reduce emission agriculture improving soil quality substituting synthetic fertilizer included cattle fed lowering methane emission cattle seaweed aquaculture contributes damping wave energy protecting shoreline elevating ph supplying oxygen water thereby locally reducing effect ocean acidification de oxygenation scope expand seaweed aquaculture however limited availability suitable area competition suitable area us engineering system capable coping rough condition offshore increasing market demand seaweed product among factor despite limitation seaweed farming practice optimized maximize benefit may economically compensated improve income seaweed farmer
7,Making nature-based solutions climate-ready for the 50 degrees C world,WOS:000659872700016,nature based solution nb promise future natural human technical element help solving many issue plaguing city pollution reduction increased human wellbeing challenge targeted nb however warming affecting many world city modern nb highly impacted factor hope mitigate a case extreme temperature altered water availability factor impact cause failure organism technical element governance structure nb rely upon thus decreasing performance reliability sustainability solution in commentary propose critical consideration related designing building managing climateready nb defined local integrated solution able cope adapt highlighting example heat drought stricken area across australian city sit global forefront hotter world discus detail tolerance adaptability nb new climate ii nb design weather extreme safety margin iii nb trialing prototyping iv planning ready nb in highlight caveat limitation propose implementation framework make nb work succeed hotter urban world one see 50 degree
8,Exploring the health context: A qualitative study of local heat and climate change adaptation in Japan,WOS:000378457900001,extreme temperature event global climatic change may put human health risk urban center particularly vulnerable adverse effect japan densely populated highly urbanized island frequently exposed natural hazard heat episode japanese government practitioner design heat strategy protect health reduce risk are strategy implemented local level how policymakers researcher perceive heat measure how strategy evaluated in short happening japan ground critical briefly outline heat solution challenge three japanese prefecture it draw attention implementation evaluation barrier highlight creative approach involving civil society volunteer
9,The overlooked role of New York City urban yards in mitigating and adapting to climate change,WOS:000212158800001,there dearth focusing role urban residential open space play despite evidence suggesting environmental benefit accrue even small pocket open space made permeable vegetated in densely built new york city 21 448 ha 53 000 acre land one city block adjoining contiguous open space investigated quantify existing environmental value also potential provide enhanced service redesign block open space found 35 permeable planted 96 tree storing 45 359 kg 100 000 lb carbon simulation conducted using united state environmental protection agency stormwater management model contrasting normal light heavy precipitation year suggested increase annual precipitation could fully mitigated reducing impervious surface cover 25 preservation existing vegetated residential urban open space conversion paved surface pervious condition appear effective strategy enhancing city ability adapt mitigate
