,title,wos,clean_abstract
0,Evaluating opportunities for an increased role of winter crops as adaptation to climate change in dryland cropping systems of the US Inland Pacific Northwest,WOS:000423707600020,long term sustainability wheat based dryland cropping system inland pacific northwest ipnw united state depends system adapt model project warming slight increase winter precipitation drier summer ipnw these condition combined elevated atmospheric co2 promote crop growth improve transpiration use efficiency may beneficial cropping system ipnw may provide regional opportunity agricultural diversification intensification crop modeling simulation future climatic condition showed increased wheat productivity ipnw century water use winter wheat projected decrease significantly higher intermediate precipitation zone increase slightly drier location winter crop utilizing significantly water overall spring crop crop diversification inclusion winter crop wheat possibility depending agronomic economic consideration substitution winter spring crop appeared feasible high precipitation area increased weed pressure higher pest population expanded range biotic stressor agronomic plant breeding economic technology factor influence production system eventually prevail future climatic condition region
1,"A Survey-Based Assessment of Cattle Producers' Adaptation to Climate Change in British Columbia, Canada",WOS:000353217600002,a quantitative analysis british columbia cattle ranching community light global provides insight stakeholder need observation included future planning more 63 239 survey respondent believe human activity increasing rate global change occur 60 231 respondent adapted management cattle rancher operating le 20 year likely agree human activity increasing rate global compared operating 40 year may reflect fact concept gained public acceptance past 2 decade would likely perceived legitimate risk operation category comparison operating long period time tend rely experiential embedded knowledge regional analysis showed northerly region likely noticed compared one southern region with respect operation scale term head cattle ranch 50 head cattle identified water availability significant challenge operation family succession planning identified greater challenge operating ranch 40 year compared operating le 20 year included accessing available forage providing water source cattle experiential scientific knowledge crucial future planning reduce vulnerability ranching industry building adaptive capacity
2,A community-supported weather and soil moisture monitoring database of the Roaring Fork catchment of the Colorado River Headwaters,WOS:000636346700028,local community interest better understanding regional impact motivated establishment long term soil moisture weather observation network roaring fork catchment colorado river headwater catchment wide suite 10 station installed 2012 2020 collect frequent fixed interval data soil moisture soil temperature rain air temperature relative humidity station snow across elevational gradient 1800 3680 in provide description data network provides data accessed community supported effort resulted data support mountain hydrology application resource management decision making all data network publicly available
3,Climate change drives microevolution in a wild bird,WOS:000288225900037,to ensure long term persistence organism must adapt evolutionary response quantified selection pressure driven empirically demonstrated wild population here show pheomelanin based plumage colouration tawny owl highly heritable trait consistent simple mendelian pattern brown dark dominance grey pale show strong viability selection brown morph occurs snow rich winter a winter condition became milder last decade selection brown morph diminished concurrent reduced selection frequency brown morphs increased rapidly population last 28 year nationwide last 48 year hence show first evidence recent alters natural selection wild population leading microevolutionary response demonstrates ability wild population evolve response
4,Silvopastoral system is an alternative to improve animal welfare and productive performance in meat production systems,WOS:000674513600010,reality global surface temperature projected rise substantially next 80 year agriculture practice adapt also help mitigate effect using among strategy forest conservation management silvopastoral system adopted tropical livestock area benefit thermal comfort reproductive performance beef cow completely known therefore aim compare microclimate silvopastoral intensive rotational unshaded grazing system different month evaluate physiological variable exp 1 2 metabolism vitro embryo production exp 2 crossbred beef female our hypothesis silvopastoral system improve thermal comfort beef heifer cow consequently also improve dry matter intake body weight gain vitro embryo production compared unshaded rotational grazing system in exp 1 silvopastoral system decreased body temperature increased welfare performance heifer in exp 2 silvopastoral system enhanced body weight affect metabolism general reproductive performance increased recovery rate oocyte primiparous cow
5,Building ecosystem resilience for climate change adaptation in the Asian highlands,WOS:000344353600002,asian highland vast mountainous area pakistan china including hindu kush himalaya tibetan plateau considerable global importance source major river asia sustain billion downstream dweller part four global biodiversity hotspot support rich cultural diversity however warming himalaya tibetan plateau greater two time global average regional appears shifting potential trigger large scale ecosystem regime shift landscape trap a host driversurbanization infrastructure development land use agricultural practice upstream downstream water management ongoing nation state security conflictsinteract signal produce complex change across ecological social system in response highland people evolving hybrid form adaptive capacity bottom behavior mixing top state market policy to increase ecosystem livelihood resilience future need link upstream downstream conservation action local while key problem institutional government capacity coordination low present four general strategy move forward application cross sector coordinated planning strategic integration science based conservation developing local level hybrid knowledge recognition critical role governance support increased emphasis environmental security discus strategy driver region
6,SIMULATING THE EFFECT OF CLIMATE CHANGE ON WINTER WHEAT PRODUCTION AND WATER / NITROGEN USE EFFICIENCY IN IRAQ: CASE STUDY,WOS:000689451400022,objective investigate capability modifying irrigation nitrogen application rate especially increasing air temperature using root zone water quality model rzwqm2 field experiment conducted winter wheat season 2015 2016 2019 2020 rasheed county south baghdad iraq effect increasing air temperature water use efficiency nitrogen use efficiency grain yield wheat assessed different irrigation deficit nitrogen application rate three level water depletion 30 50 70 available water four n application rate 0 140 200 260 kg n ha 1 applied winter wheat two temperature scenario rzwqm2 created purpose first scenario add 2c normal temperature second scenario add 4c normal temperature result showed high irrigation level presented better result low level projected temperature scenario however applied nitrogen rate presented similar result projected temperature 2c 4c scenario therefore modifying irrigation requirement workable adaption strategy increased temperature
7,The impact of climate change on maize cultivation in Switzerland,WOS:000421325900002,premise global warming change condition crop production investigated throughout switzerland basis suitability grain maize cultivation gridded projection temperature change three time period 2020 49 2045 74 2070 99 available twenty model chain a2 emission scenario e business usual scenario used it found warming suitable production area increase higher altitude decrease lower altitude longer term in second part investigated influence individual climatic factor suitability using combined temperature precipitation scenario ten model chain zurich reckenholz changins site result suggest heat stress accelerated plant development increasingly limiting suitability site whilst water shortage maturation increasing significantly changins site western switzerland shortening growth phase also play role since temporal shift crop development reduce risk drought stress drought sensitive phenological period shifted away period intense stress despite uncertainty regard long term result provide advice planning possible measure e future cultivar choice shift production area
8,Climate resilience of the top ten wheat producers in the Mediterranean and the Middle East,WOS:000522078800001,wheat main staple crop important commodity mediterranean middle east these among area world suitable growing durum wheat also among rapidly warming one according available scenario projection how much food security market stability mediterranean middle east depending wheat production interannual variability going compromised global warming overarching question to contribute addressing use recently established indicator quantify crop production resilience present methodological framework allowing compute annual production resilience indicator nonstationary time series apply approach wheat production 10 important producer mediterranean middle east our finding show take place wheat production reliability mediterranean middle east threatened already 1 5 degree
9,"Multiproxy paleolimnological records provide evidence for a shift to a new ecosystem state in the Northern Great Plains, USA",WOS:000850286800001,wetland prairie pothole region north american northern great plain perform multiple ecosystem service biodiversity hotspot however climatological change result sudden shift important ecosystem for example marked increase precipitation last decade resulted widespread shift wetland across prairie pothole region new ecohydrological state used multiproxy analysis diatom community composition invertebrate stable isotope pb 210 dated sediment core two adjacent morphologically hydrologically different prairie pothole wetland ass effect hydroclimatic variability wetland ecosystem our result provide evidence recent ecohydrological shift region wetland unprecedented past ca 178 yr oxygen stable isotope chironomid head capsule provide record paleohydrology change recent sediment e deposited state shift wetland revealed novel change diatom community differed greatly earlier community composition in addition depleted signal deuterium
