,title,wos,clean_abstract
0,Climate change adaptation and productive efficiency of subsistence farming: A bias-corrected panel data stochastic frontier approach,WOS:000751562400001,explore impact technical efficiency ethiopian farmer using panel data collected 6820 farm plot employ green 2010 stochastic frontier approach propensity score matching address selection bias our result reveal improves efficiency maize wheat barley production also show failure account selection bias underestimate average efficiency level our finding imply expansion larger scale provide double benefit curbing related risk increasing efficiency farmer moreover increasing credit access introducing mechanism allow farmer get enough water main growing season enhance efficiency subsistence farmer
1,The Impact of Farmers' Adaptation to Climate Change on Rice Yields: Implications for Sustainable Food Systems,WOS:000896171100001,remarkable agricultural productivity gain achieved last several decade result green revolution gr technology greatly increased food production reduced hunger however threatens reverse progress made far fight food insecurity agricultural sector many developing country including rice wheat producer punjab pakistan india highly vulnerable serious implication rural livelihood food security considered key tool tackle challenge farm level therefore focus term impact rice yield a household survey conducted punjab province pakistan farmer interviewed face face employed simultaneous equation model ass differential impact adapting non adapting farmer rice yield using cross sectional data 480 rice grower endogenous switching regression model provided mean estimate selection bias farmer attribute result show significant positive impact adaptation rice yield specifically yield farmer adapted 24 higher non adapting farmer result indicate non adapter also benefit strategy decide adapt also found significant positive effect farmer risk perception literacy level access irrigation ownership livestock availability farm advisory service decision these result therefore suggest policymakers take account farmer local knowledge farming practice formulating policy
2,"Adapting to climate change precisely through cultivars renewal for rice production across China: When, where, and what cultivars will be required?",WOS:000795900600005,projected important impact crop productivity broad region world crop breeder across globe continuously working development crop cultivar adapt detailed information necessary adaptability current cultivar broken cultivar trait required here developed novel hybrid crop modelling approach coupled process based crop model machine learning systematically assessed impact rice productivity 36 representative cultivar china identified cultivar would required rice production adapt precisely across china showed substantial difference impact amongst cultivar current cultivar replacement could alleviate offset potential yield loss due future without adaptation co2 effect nearly 67 single rice 46 double rice cultivation area would require cultivar renewal 2050 only two decade leading time remain mid lower reach yangtze river cultivar medium growth cycle long grain filling period high photosynthetic capacity le spikelet breeding target adapt although ideotypic trait could different specific environment rice type
3,Effects of climate adaptation on technical efficiency of maize production in Northern Ghana,WOS:000700129600001,essential strategy responding local level required sustainable food production meet growing food demand in light analyzed effect strategy technical efficiency maize farmer northern ghana involved total 619 maize farmer selected multistage sampling procedure a cobb douglas stochastic frontier fitted data from result major strategy adopted farmer include row planting changing planting date mixed farming refilling intercropping frontier result show significantly lead higher maize output crop rotation row planting significantly improve technical efficiency maize farmer other factor significantly influence maize output farm size labor seed chemical concludes particularly crop rotation row planting remains essential strategy sustainable food production region however understanding mechanism majority strategy significantly reduce technical efficiency required
4,Renewable Energy from Wildflowers-Perennial Wild Plant Mixtures as a Social-Ecologically Sustainable Biomass Supply System,WOS:000532535000001,a growing bioeconomy requires increasing amount biomass residue waste industrial crop bio based product bioenergy there much discussion industrial crop cultivation could promote social ecological outcome environmental protection biodiversity conservation food security greenhouse gas mitigation landscape appearance in maize zea may l main biogas substrate source despite associated problem erosion biodiversity loss increase wild boar population lowered landscape diversity cultivation perennial wild plant mixture wpm address many problem despite le developed maize wpm cultivation received notable attention among scientist past decade mainly wpm clearly outperform maize social ecological measure despite methane yield performance summarizes discus result 12 year practice wpm social ecologically benign bioenergy cropping system
5,Crop diversification and saline water irrigation as potential strategies to save freshwater resources and reclamation of marginal soils-a review,WOS:000551268700021,feeding 9 billion 2050 one major challenge researcher use diversified crop nonconventional water resource rehabilitation marginal land alternate option produce food face projection smart agriculture practice agroecology activity crop based management package help transform marginal land environmental burden productive economic block discus recent advancement specialty group alternate crop oil seed legume cereal medicinal lignocellulose fruit crop adapt marginal environment availability alternate water resource saline water treated wastewater irrigation cannot omitted crop diversification system involving drought salt tolerant crop likely key future agricultural economic growth region salt affected soil exist saline aquifer pumped irrigation these system may tackle three main task sustainable management land resource enhancement per unit productivity intensification agroecological practice increase soil fertility improving productivity marginal land diversified smart crop explores various aspect marginal land selection tolerant crop genotype crop diversification agroecological practice maximize benefit
6,"Exploitation of diversity within farmers' durum wheat varieties enhanced the chance of selecting productive, stable and adaptable new varieties to the local climatic conditions",WOS:000512984500002,variety selection locally adapted crop major strategy farming community there several justification thinking sustainable use crop biodiversity breeding program thirty one durum wheat farmer variety fvs together five improved check variety characterized tigray 2014 2015 main cropping season genotype effect explained variation measured trait enabled u identify superior stable genotype wider well variety local genotype test location imposed highly significant p 0 001 effect phenological quantitative trait a yield advantage 14 3 obtained top performer fv top performer improved variety asassa of tested fvs 27 8 superior grain yield gy improved variety 19 4 superior fvs stable adaptable improved variety besides giving higher gy spatial stability qualify industrial requirement high grain protein 13 gluten 33 content fvs g10 g16 g21 g22 g30 wider adaptability suitable production tested area a outcome two superior fvs g10 208304 g30 8208 nationally released commercial production productivity stability grain quality utilizing diverse durum wheat fvs effectively improve productivity adaptability wheat breeder need revisit resource improve wheat production changing climatic condition
7,Short-Term Effects of Organic Amendments on Soil Properties and Maize (Zea maize L.) Growth,WOS:000540851700010,in recent year application biochar soil amendment generated huge interest preservation soil fertility improving physicochemical biological property soil reduction negative effect greenhouse emission in investigated effect three soil amendment namely biochars derived wood bc solid digestate sd biochar derived solid digestate bsd soil parameter influence maize growth performance experiment conducted greenhouse organic amendment applied soil control
8,Economic Evaluation of Dissemination of High Temperature-Tolerant Rice in Japan Using a Dynamic Computable General Equilibrium Model,WOS:000353068200007,us dynamic computable general equilibrium dcge model evaluate economic impact technology developed foster domestic rice production related food industry economic welfare japan high temperature 2010 led rice quality deteriorating serious problem mere decline output three scenario simulated one without temperature one temperature rice cultivar unchanged one increase temperature adoption high temperature tolerant rice variety our simulation indicate new rice cultivar high temperature tolerance would reduce economic welfare loss 264 118 billion yen simulation period paddy rice farming production increased product price increased farming input also rose correspondingly triggering increase agricultural land rent non agricultural household small scale paddy rice growing household suffered welfare loss conversely medium large scale paddy rice growing farming household saw welfare boosted these difference attributable impact change agricultural land rent total income all impact economic welfare also production case new cultivar high temperature tolerant rice smaller without cultivar indicates adopting new adaptive technology eas economic impact warmer
9,Optimizing Cowpea Productivity by Sowing Date and Plant Density to Mitigate Climatic Changes,WOS:000754951600002,adaptation climatic change adjusting sowing date using optimum planting density mitigate negative effect cowpea productivity a field experiment performed two growing season 2019 2020 experimental farm kafr al hamam agric re station sharqia governorate egypt aimed optimize sowing date 31 may 15 june 30 june planting density 285715 142860 95240 71430 57145 plant ha 1 perform better term seed biomass yield well seed quality cowpea semi arid condition late cowpea sowing 30 june appeared produced higher seed yield contribution yield ha 1 crop harvest index well pure seed in respect sowing density intermediate planting density 95240 plant ha 1 exhibited higher seed yield component yield ha 1 crop harvest index well pure seed result interaction indicated late sowing 30 june attained maximum seed yield intermediate planting density 95240 plant ha 1 used late sowing lighter 57145 71430 plant ha 1 intermediate 95240 plant ha 1 planting density exhibited highest pure seed well fewest shriveled infected seed path coefficient analysis showed number pod plant 1 exerted positive high direct effect seed yield cowpea 0 385 100 seed weight positive moderate direct effect seed yield cowpea 0 251
