,title,wos,clean_abstract
0,Resilience of Polish cities and their rainwater management policies,WOS:000847900000003,taking account literature intersection study urban study author examine compare rainwater management policy selected polish city there special emphasis urban resilience order define role ensuring safe living condition resident including process adapting aim show rainwater city perceived opportunity problem challenge main question what measure polish city undertake build resilience context water management policy what kind document local level relevant measure are provision contained document implemented remain dead letter answer require examination various document including plan development strategy adopted polish city regard
1,"Climate change adaptation and sustainable regional development: a case study for the Federal State of Brandenburg, Germany",WOS:000307534400009,located relatively dry region characterized mainly sandy soil german federal state brandenburg surrounding capital city berlin especially vulnerable impact e g summer drought cascading effect ecological system e g decreasing ground water table water stress fire risk productivity loss socioeconomic implication furthermore complex interplay unemployment rural exodus aging population challenge structurally weak region discus measure either implemented planned well strategy sector forestry agriculture water management well nature conservation light socioeconomic ecological challenge benefit in adopt systemic view brandenburg sector discussed seen subsystem embedded larger regional system least partially holarchical approach enables identification conflict measure also synergy among sector pertain successful insight gained ultimately highlight need cross sectoral adaptive management practice jointly target sustainable regional development
2,Diurnal and seasonal trends and associated determinants of surface urban heat islands in large Bangladesh cities,WOS:000702901900001,many surface urban heat island suhi study conducted around globe however still lack information available regarding intensity suhi suhii bangladesh city focused diurnal seasonal suhi variability temporal trend possible driver five major city mean annual daytime suhii ranged 2 88 degree
3,Passive warming of indoor space induced by tropical green roof in winter,WOS:000335874300030,thermal energy performance green roof winter seldom investigated with poor building thermal insulation lacking artificial heating indoor space winter subtropics become uncomfortably cold health implication elderly weak people experimental established two extensive green roof residential building humid subtropical hong kong broadleaved perennial peanut arachis pintoi succulent mexican sedum sedum mexicanum plot compared bare concrete tile control plot temperature sensor installed along holistic vertical temperature profile three apartment plot left vacant permit undisturbed monitoring at control plot notable heat loss especially nighttime induces upward heat flux cool indoor air vegetated roof provide receptor repository solar energy sensible heat generate green roof heat sink effect ghe porous substrate store interstitial water augment thermal capacity conductivity ghe warmer green roof vi a vi cooler ceiling generates thermal gradient induce downward heat flux warm indoor space peanut plot thicker substrate creates stronger ghe sedum extensive green roof subtropical area offer passive warming indoor space winter implication indoor heating energy consumption progressively aging population
4,A satellite image-based analysis of factors contributing to the green-space cool island intensity on a city scale,WOS:000346547000029,urban green space provide cooler microclimates create localized urban cool island part strategy cope future urban proposed mean mitigate urban heat island effect numerous previous paper discussed green space size type vegetation density well many factor might influence green space cooling effect however little done regard exploring quantifying characteristic green space cool island uci it also largely unknown whether pattern green space land use well adjacent urban thermal environment affect ucis in land surface temperature lst retrieved satellite imagery uci identified one uci characteristic uci intensity defined multiple linear regression model used explore quantify combined effect factor related uci intensity result show intensity differed ucis correlated significantly extent mean temperature reduction associated uci multiple linear regression analysis found uci intensity affected area forest vegetation spatial arrangement well composition cool island neighboring thermal environment validated suitability using intensity indicator uci identifying uci result green space cooling effect help management planning spatial arrangement green space city reduce effect urban thermal environment help city adapt
5,DEVELOPING A HOLISTIC PATHWAY TO CLIMATE-ADAPTIVE BUILDINGS,WOS:000271443500007,explores origin air condition dependency evolved 20th century architecture related development affected building last century lack flexibility adaptability building short life span it look passive design principle frequently found heritage building pre air conditioning era based heat avoidance harnessing natural energy concludes series recommendation holistic pathway zero carbon adaptive building
6,"Effect of landscape pattern and spatial configuration of vegetation patches on urban warming and cooling in Harare metropolitan city, Zimbabwe",WOS:000615862500001,spatial configuration vegetation patch landscape implication provision ecosystem service human enhancement mitigation urban heat island until recently effect spatial configuration vegetation enhance mitigate urban heat island received little consideration urban thermal assessment examines impact spatial configuration vegetation patch urban thermal warming cooling harare metropolitan city zimbabwe used advanced spaceborne thermal emission reflection radiometer aster landsat sentinel 2 data acquired 1994 2017 derive detailed information vegetation patch landscape metric land surface temperature lst degree
7,"Revealing the spatiotemporal characteristics and drivers of the block-scale thermal environment near a large river: Evidences from Shanghai, China",WOS:000884391800002,urban river play important role mitigating surrounding temperature empirical thermal environment near large river remains sparse influencing factor still unclear in mobile measurement air temperature ta conducted summer july 2021 winter december 2021 january 2022 urban area near huangpu river shanghai china four factor river proximity ventilation urban morphology land use considered potential driver a geodetector model gdm used investigate contribution driver interaction uneven distri bution ta identified season ta distribution block scale showed spatiotemporal variation exhibited different degree stratified heterogeneity level four potential driver en hancements found pair among driver maximum explanatory power reaching 96 82 summer winter ta distribution respectively suggesting thermal environment riverfront driven combination factor dominant factor include river proximity urban morphology land use urban morphology factor strongly influence regulation effect river more design riverfront open space also found non negligible influence therefore suggested consider dominant factor well interaction factor according target time finding give insight practice adaptive planning design urban riverfront
8,"Structural features that govern enzymatic activity in carbonic anhydrase from a low-temperature adapted fish, Chionodraco hamatus",WOS:000249632300019,carbonic anhydrase ca family zinc metalloenzymes includes many known isozymes different subcellular distribution described focus identification structural feature define low temperature chionodraco hamatus protein reaction center atomic level tertiary structure protein to aim x ray absorption near edge spectroscopy minuit x ray absorption near edge spectroscopy analysis reaction center undertaken structurally characterized human caii ca
9,Self-shaping building skin: Comparative environmental performance investigation of shape-memory-alloy (SMA) response and artificial-intelligence (AI) kinetic control,WOS:000618186000004,present first controlled experimental investigation environmental performance self shaping adaptive facade kinetically responsive building skin activated smart material although adaptive facade emerging subject architectural design effectiveness rarely addressed term building performance thus investigated indoor temperature daylight illuminance thermo responsive skin actuated shape memory alloy sma for comparative analysis controlled situation two identical lab scale 1 20 building model kinetic louver shading designed representing south oriented living mom 3 4 mx5 2 shading adaptively operated conventional electromagnetic motor baseline sma actuator test case respectively time period mechanical characterization simulation sma bias coil spring actuation studied artificial neural network anns model employed baseline optimal dynamic control approximate american society heating refrigerating air conditioning engineer ashrae standard thermal comfort 19 4 27 8 degree
10,Modeling and comparing central and room air conditioning ownership and cold-season in-home thermal comfort using the American Housing Survey,WOS:000519422200001,household level information central air conditioning cenac room air conditioning rmac air conditioning cold weather thermal comfort often missing publicly available housing database hindering action air pollution exposure reduction modeled using information american housing survey 2003 2013 140 u core based statistical area employing variable would present publicly available parcel record present random intercept logistic regression model either cenac rmac home uncomfortably cold 24 h toocold outcome variable housing value rented v owned age multi v single family interacted cooling heating degree day predictor sample predicted probability year 2015 2017 compared corresponding american housing survey value 0 1 using 0 5 probability threshold model 63 specificity true negative rate 91 sensitivity true positive rate cenac specificity sensitivity rmac 94 34 respectively area specific sensitivity specificity varied widely for toocold overall sensitivity effectively 0 future epidemiologic study heat vulnerability map intervention screening may reliably use similar ac model parcel level data improve understanding health risk spatial patterning home without ac
11,Quantifying the relationship between land parcel design attributes and intra-urban surface heat island effect via the estimated sensible heat flux,WOS:000732993000005,quantifying relationship land parcel design attribute lpdas associated surface urban heat island suhi effect within city vital enhancing urban adaption artificial climatic modification taking four representative urban function zone downtown shanghai china example investigated lpdas association summertime intra suhi effect indicated parcel based net blackbody sensible heat flux netbbf overall result revealed variation parcel based netbbfs attributed land parcel characterized differential land developmental intensity result showed stepwise regression sr model exhibited lower statistical power interpreting relationship lpda metric parcel based netbbfs explaining 52 50 54 90 variance parcel based netbbfs in contrast partial least square regression plsr model better interpreted relationship explaining 59 9 71 6 variance parcel based netbbfs methodology finding referenced facilitate official decision making towards sustainable land development uhi mitigation climatic adaption
12,Potential Transformative Changes in Water Provision Systems: Impact of Decentralised Water Systems on Centralised Water Supply Regime,WOS:000484561500182,sustainable urban water management suwm paradigm decentralisation key there little work directed towards large scale possibility decentralised water system implication functioning centralised potable water system includes historical future scenario analysis decentralised development integrated morphological socio technical scenario combined quantitative water flow case province limburg netherlands examined transdisciplinary group expert show suwm measure focus circularity significant impact existing centralised potable water system in turn influencing total water peak demand thus resulting different utilisation rate result system failure e g longer residence time bacterial growth reduced self cleaning capacity significant change centralised infrastructure e g well increasing water bill e g inequality preservation aquifer future generation different scenario either regime reproducing regime diversifying impact suwm measure studied isolation thus externality fully considered therefore planning decentralised suwm solution system thinking approach recommended take account externality
13,Assessing the stability of annual temperatures for different urban functional zones,WOS:000320349300009,urban functional zone ufz basic unit urban planning defined area similar social economic function despite importance ufzs stability annual temperature winter summer seldom investigated with understanding thermal impact planning decision essential know ufzs designed regulate temperature urban environment 690 ufzs identified using alos image 2009 beijing land surface temperature lst extracted daytime landsat tm 2002 aster 2009 image regional lst variation 31 district sized sub region correlated type ufzs region structural feature region area size diversity complexity connectivity result showed 1 ufz type order highest lowest lst variation commercial campus high density residential water recreational low density residential road preservation agricultural zone 2 regional lst variation positively correlated area campus commercial high density residential water road zone negatively correlated area agricultural low density residential zone 3 increased connectivity complexity decreased regional lst variation result indicated stability annual temperature determined ufz type size also connectivity complexity these result clearly useful essential piece information applied urban planning improve adaptability crown
14,"Interactive effect between long-term and short-term thermal history on outdoor thermal comfort: Comparison between Guangzhou, Zhuhai and Melbourne",WOS:000607779400140,thermal history influence human thermal comfort physiological short term psychological long term aspect however nature interaction long term short term thermal history unclear to investigate interactive effect long term short term thermal history outdoor thermal comfort conducted summer thermal comfort survey melbourne n 3293 january february 2014 guangzhou zhuhai n 4304 september 2018 mean thermal sensation resident guangzhou higher melbourne zhuhai resident similar universal thermal index utci range preferred utci highest melbourne resident 19 62 degree
15,Large seasonal and diurnal anthropogenic heat flux across four Australian cities,WOS:000389054200006,anthropogenic heat release key component urban heat island however often excluded study urban heat island reliable estimate available omission important anthropogenic heat contribute 4 degree
16,A statistical method for quantifying the field effects of urban heat island mitigation techniques,WOS:000561893900001,lowry approach 1977 set framework evaluating meteorological effect urban heat island uhi describing superposition background local urban climate in adapting framework uhi countermeasure propose statistical method suited assessing effect field framework demonstrates direct comparison case control site cannot isolate impact uhi countermeasure it also show interstation difference countermeasure implementation cannot considered statistically independent consequently statistical procedure suited handling dependent observation necessary linear mixed fixed effect model a case experimental data pavement watering experiment conducted paris since 2013 used goal assessing cooling effect two different watering strategy with fixed effect model long lasting statistically significant effect found result indicate beneficial thermal effect pedestrian reduction utci equivalent temperature 2 degree
17,Stabilization of global temperature at 1.5 degrees C and 2.0 degrees C: implications for coastal areas,WOS:000429046300004,effectiveness stringent stabilization scenario coastal area term reduction impact need wider policy implication received little attention here use warming acidification sea level projector earth system model calculate large ensemble global sea level rise slr ocean ph projection 2300 1 5 degree
18,Quantifying seasonal and diurnal contributions of urban landscapes to heat energy dynamics,WOS:000519517700062,cooling energy consumption urban area affected significantly dynamic urban heat flux however still lack clear understanding quantitative contribution rate underlying mechanism typical urban landscape urban heat dynamic especially seasonal diurnal pattern here used thermal infrared camera portable meteorological instrument examine sensible heat flux shf change five typical urban landscape beijing based surface temperature concurrent microclimate condition diurnal seasonal variation shf quantified comparing change forenoon afternoon different season result showed 1 wall road act heat source forest water act heat sink season however grassland served heat sink summer spring autumn becomes heat source winter 2 seasonal variation sensible heat flux wall greatest followed water tree smallest besides highest sensible heat flux maximum variation among typical urban landscape occur noon 2 00 pm 3 numerical contribution rate typical landscape sensible heat flux varies daytime forenoon afternoon seasonal change ratio used parameter adjust numerical model obtain reliable result surface energy flux related study result provide reference explaining controversial finding based remote sensing data provide insight revealing sensible heat flux mechanism typical urban landscape cooling energy conservation city
19,How to plan urban green space in cold regions of China to achieve the best cooling efficiency,WOS:000767069800001,with acceleration urbanization urban heat island uhi effect intensified urban green space retard uhi effect however existing study focused hot region little attention given cold region also summer heat protection requirement furthermore existing researc classified urban green space according presence absence water lead inaccurate result take four city cold region china example study cooling effect two different type urban green space result indicate cold region china green space containing water body stronger cooling effect without water for green space without water cooling intensity related background temperature green space area green space containing water body area internal water body key influencing factor specifically threshold value efficiency tvoe green space area without water cold region city china approximately 0 52 ha tvoe green space area containing water body additionally tvoe water land ratio green space containing water body approximately 0 5 method result provide reference future urban planner manager designing urban green space
